Protein,Tissue
F2,Pulp
ACAN,Pulp
DDX23,Pulp
STPG4,Pulp
FSTL1,Pulp
SPP2,Pulp
FBLN5,Pulp
F6R013,Pulp
FARSA,Pulp
RNASEK,Pulp
ACSF2,Pulp
NAP1L4,Pulp
ANK1,Pulp
GALK1,Pulp
TRA2B,Pulp
DLST,Pulp
MYO1B,Pulp
UBE4A,Pulp
ARHGAP18,Pulp
COX4I1,Pulp
FGA,Pulp
GMPS,Pulp
ALDH16A1,Pulp
SCP2,Pulp
EIF6,Pulp
A0A3Q2I937,Pulp
LOC100071942,Pulp
ERC2,Pulp
PSMD7,Pulp
LOC100066370,Pulp
CCAR1,Pulp
SMARCA5,Pulp
AKAP11,Pulp
TIGD5,Pulp
BGN,Pulp
RCN1,Pulp
GREB1L,Pulp
APOH,Pulp
FTL,Pulp
CTH,Pulp
RRAGD,Pulp
CRISP2,Pulp
A0A3Q2GZ70,Pulp
PPIB,Pulp
PDCD6IP,Pulp
RPS3,Pulp
LAMP1,Pulp
SERPINB1,Pulp
AK3,Pulp
IDH2,Pulp
DCN,Pulp
TRIM65,Pulp
PTPRZ1,Pulp
ALDH3A2,Pulp
ARF4,Pulp
CLEC3B,Pulp
PGM5,Pulp
HNRNPA0,Pulp
A0A3Q2GXU9,Pulp
HINT2,Pulp
HNRNPH2,Pulp
FN1,Pulp
ILF2,Pulp
LAMB1,Pulp
RHOB,Pulp
OGDH,Pulp
MACF1,Pulp
MMP2,Pulp
DNAJB11,Pulp
TBR1,Pulp
NENF,Pulp
ATP2B1,Pulp
RAB11A,Pulp
MPRIP,Pulp
PRKCSH,Pulp
ACLY,Pulp
VCAN,Pulp
USP7,Pulp
F6RE30,Pulp
MGLL,Pulp
AGT,Pulp
CLEC11A,Pulp
SLC49A3,Pulp
LOC100061707,Pulp
ACTN1,Pulp
SSB,Pulp
FKBP9,Pulp
BASP1,Pulp
SH3PXD2B,Pulp
AHCYL2,Pulp
GPI,Pulp
CDC37,Pulp
VWF,Pulp
RNPS1,Pulp
LOC100059239,Pulp
ITGAM,Pulp
MYL6,Pulp
NAPG,Pulp
PPA1,Pulp
TMOD2,Pulp
HSPA9,Pulp
AKIRIN2,Pulp
SCARA3,Pulp
PRPS2,Pulp
PPP2R1A,Pulp
COX7A2,Pulp
CDC42BPA,Pulp
PSMD14,Pulp
DLAT,Pulp
PDIA3,Pulp
ANP32A,Pulp
ALB,Pulp
STMN2,Pulp
CSRP1,Pulp
MYO1G,Pulp
COL1A1,Pulp
RBBP4,Pulp
DBNL,Pulp
PCYOX1,Pulp
SEPTIN11,Pulp
FGR,Pulp
SEC23IP,Pulp
SEC13,Pulp
CYB5R3,Pulp
F6T1A4,Pulp
PRELP,Pulp
A0A3Q2HTB6,Pulp
LOC100054601,Pulp
SLC4A1,Pulp
LTBP3,Pulp
A0A3Q2HD15,Pulp
CDC5L,Pulp
TM9SF3,Pulp
APMAP,Pulp
NME2,Pulp
RPS2,Pulp
SLC12A7,Pulp
SND1,Pulp
HPCAL1,Pulp
EFHD1,Pulp
P4HB,Pulp
NCF4,Pulp
KTN1,Pulp
FKBP10,Pulp
CHCHD3,Pulp
PLEKHO2,Pulp
COL4A2,Pulp
HMGB3,Pulp
PITHD1,Pulp
ALDH7A1,Pulp
LOC111767815,Pulp
LRRC59,Pulp
A0A3Q2HF14,Pulp
SERPINH1,Pulp
CAVIN1,Pulp
WDR76,Pulp
CCT7,Pulp
PTPRC,Pulp
TYK2,Pulp
BCKDHB,Pulp
A0A3Q2H7L7,Pulp
PGP,Pulp
LMNA,Pulp
FBXO2,Pulp
SERPINA1,Pulp
CLTC,Pulp
NDUFS8,Pulp
ATP5F1A,Pulp
AP2A1,Pulp
HIPK1,Pulp
NID1,Pulp
IDH3A,Pulp
SSR4,Pulp
PCBP2,Pulp
SEPTIN8,Pulp
TCP1,Pulp
COL1A2,Pulp
PHB1,Pulp
FMOD,Pulp
PDXK,Pulp
SNRPB,Pulp
SLC25A13,Pulp
COL6A1,Pulp
CA1,Pulp
RUVBL1,Pulp
ARHGDIA,Pulp
FARP1,Pulp
PACS1,Pulp
SH3BGRL2,Pulp
ACOT9,Pulp
PALMD,Pulp
A1BG,Pulp
MRPS26,Pulp
PTPN6,Pulp
CLTB,Pulp
NDUFS1,Pulp
EPB41L2,Pulp
KNG1,Pulp
KNG1.1,Pulp
CAD,Pulp
PRDX4,Pulp
RAC1,Pulp
A0A3Q2I4Y7,Pulp
EFEMP2,Pulp
THBS1,Pulp
ECI1,Pulp
H3-3B,Pulp
ATP5F1C,Pulp
PCOLCE,Pulp
ANXA6,Pulp
COL6A2,Pulp
AMBP,Pulp
CPVL,Pulp
COL3A1,Pulp
LOC100059533,Pulp
IGFBP6,Pulp
CTNND1,Pulp
LUM,Pulp
OGN,Pulp
A0A3Q2GY67,Pulp
A0A3Q2HRN8,Pulp
ANXA2,Pulp
ENO1,Pulp
AHSG,Pulp
MCAT,Pulp
ACTN4,Pulp
ITGB2,Pulp
A0A3Q2GX72,Pulp
F12,Pulp
PSIP1,Pulp
A0A3Q2GRW3,Pulp
NMRAL1,Pulp
LOC100061787,Pulp
MYH11,Pulp
UBA6,Pulp
RAD50,Pulp
ALB.1,Pulp
USO1,Pulp
CTSD,Pulp
PRKAR2B,Pulp
C1QC,Pulp
SERPINA1.1,Pulp
EDF1,Pulp
LDHB,Pulp
NUDT9,Pulp
