"","X","FC","pval","adj_pval"
"1","GPC1",-1.32563928537165,0.0258910184543667,0.181434304780611
"2","FAM171B",-9.7287717548459,0.00015574107050706,0.0225386343978233
"3","ITGA10",-1.68176793111634,0.00762503703561302,0.089594185168453
"4","SERPINF2",-0.813921986120938,0.161207658630228,0.432957711749755
"5","CKB",-0.20180666860433,0.685437241030776,0.827808573750231
"6","SERPINF1",0.64631416749414,0.183184925094684,0.469619535242737
"7","NUCB1",-0.385308395332867,0.48591602528513,0.742700916695971
"8","C3",-0.433802431890623,0.481109665717121,0.73735285724037
"9","YWHAZ",-1.20881671722278,0.0435612158050634,0.240459320390256
"10","SERPINA10",-0.684548257844163,0.39567251814718,0.671244246363276
"11","SERPINA1",-1.00115766613555,0.207243782114607,0.488332109365599
"12","YWHAE",2.22285568537044,0.00060339812156366,0.0248271659512252
"13","SERPINC1",-0.0781464492642137,0.900069416406972,0.941180177343466
"14","YWHAB",-1.86462226196625,0.00339199331056758,0.0637694742386704
"15","ENO1",-0.352806422788976,0.439801372016504,0.702441616564239
"16","PDIA6",-0.709474257267662,0.196364423061915,0.488332109365599
"17","ITGB1",-0.382333599579955,0.508491519115754,0.748363553786381
"18","PDGFRL",-0.84963082755915,0.339923913538662,0.630648313275676
"19","COL11A1",-0.562532031554607,0.361197912834048,0.650848635266463
"20","ITIH2",-3.29454962499085,0.00193431373071697,0.0436381177649749
"21","COL14A1",-1.86524000740017,0.117081037536464,0.385826921540597
"22","A0A452GER8",-1.58218210987053,0.00564447163652789,0.083775842184256
"23","LOC100059239",-0.36294906721535,0.572954083927,0.777082294406126
"24","IGFALS",-0.0318314711281076,0.96314814797818,0.978766766594043
"25","FN1",0.346379420225094,0.443385133859697,0.702441616564239
"26","VCL",-0.735868736732474,0.164567275117162,0.439885986569096
"27","CA2",-3.06950517527182,0.00157618491980177,0.0404076497621909
"28","IFITM5",-1.92061451978391,0.0472364685284429,0.245209319036219
"29","RAB1B",-1.59173367210666,0.0127992809455254,0.125948052697837
"30","FAM20C",-0.576309572929897,0.502146066084208,0.748363553786381
"31","HNRNPK",-1.60874998158272,0.0414281986581133,0.236383599846696
"32","HABP2",-0.0906693326441754,0.866902750766084,0.927766890762943
"33","PHEX",-0.513940111165699,0.2057990876522,0.488332109365599
"34","TGFBI",-0.9488849244423,0.333692374262311,0.621130360013015
"35","PLCD1",-0.203102506050769,0.792844327895325,0.883723717258821
"36","RPSA",-0.389209302539324,0.431561626185916,0.697423372976667
"37","TUBB",-1.31543499452253,0.118363411057333,0.385878403678242
"38","ILF2",-1.42408613297376,0.0110187237811905,0.115084448381323
"39","CENPV",-1.25516733807238,0.053668519997084,0.263209089377003
"40","APOA1",-0.671774688970714,0.379585333546212,0.664265234481736
"41","CLU",-1.12261488694436,0.0696840253635409,0.307045236758102
"42","OLFML3",0.0787159958180759,0.880823843723114,0.935564308587262
"43","AHCY",-5.68007647853452,0.0006602969667879,0.0248271659512252
"44","MAN1A1",-0.655492754919429,0.367294354759304,0.655550683810909
"45","SPARC",-0.291910701384907,0.703337534068497,0.842213098120238
"46","EFEMP2",-0.138274344820463,0.835813965799141,0.911797053599063
"47","F2",0.29132430646872,0.552125725525251,0.777026427103829
"48","CRTAP",0.379145329709353,0.515629578061896,0.753406948256243
"49","F6Q1M4",-2.7523895261773,0.221547060108217,0.500696290466416
"50","DPT",0.526466874713051,0.245989338285215,0.523539572803249
"51","PLG",-1.35375974785983,0.0307971472360875,0.196610749487833
"52","LUM",0.270327982055207,0.576530614454464,0.777082294406126
"53","SEPTIN2",-1.82210100501319,0.0506901179504695,0.255260951107721
"54","NONO",-2.52747681223641,0.0071729717525153,0.089594185168453
"55","SIL1",-1.25048216614939,0.107965453952224,0.370910861242799
"56","GNAI2",-1.77406470847128,0.0337567460094749,0.209217634608174
"57","HBB",-0.535118536092586,0.319942859704168,0.603504257100838
"58","RAB5C",-0.557666848453099,0.259809029172949,0.530160305661975
"59","A0A5F5PNF9",-1.13786977196114,0.0752475381576787,0.322728552099396
"60","ITIH1",-0.993505748498585,0.151263094513009,0.426561926526685
"61","NID2",-2.40656943236813,0.0513803336837242,0.256446975200181
"62","ACTR3",-1.64059911683052,0.0885907262732095,0.347018354898575
"63","RAP1B",-1.13288751970332,0.160300327775809,0.432957711749755
"64","CPE",-0.212125248041236,0.818644993880834,0.907343669078762
"65","MFRP",2.54949497602216,0.00016916029807435,0.0225386343978233
"66","APOC2",-0.375990642298131,0.638740689615724,0.811460731612555
"67","VTN",0.00854616812544151,0.98962545047355,0.98962545047355
"68","EEF1A1",-1.33846822758418,0.0578004237233878,0.271177996975123
"69","CAP1",-1.96030080974318,0.0417180896390415,0.236383599846696
"70","MSN",-0.354810255669896,0.592603715794308,0.786192680879661
"71","SERPINE2",0.590642181939426,0.191081817482192,0.485451103873676
"72","LOX",-0.133732390811637,0.824197480944639,0.90804516372754
"73","COL11A2",0.398316020383735,0.545346982749854,0.777026427103829
"74","SERPIND1",-0.218197014189688,0.783837708408175,0.882430874777253
"75","ANXA5",-0.442738666954241,0.341114063691795,0.630781416138271
"76","LDHA",-0.339008213496175,0.413114742288218,0.684580667083883
"77","EEF2",-1.00526790034624,0.0942669364163447,0.347018354898575
"78","P4HB",0.480524865075459,0.407378302090195,0.681784458097537
"79","RPL30",-1.48351138951599,0.0720524639111465,0.314741322542398
"80","SPARCL1",0.923291253583169,0.171253456418474,0.44510114940101
