"","X","FC","pval","adj_pval"
"1","GPC1",0.473251655670165,0.391438212117496,0.811658645714219
"2","FAM171B",9.58303345731531,0.00017766045137822,0.0501002472886606
"3","ITGA10",1.39908502694015,0.0216727878761843,0.38802635139964
"4","SERPINF2",-0.792961133748584,0.171569314747441,0.645587455322859
"5","CKB",0.0753091132517447,0.87956388018771,0.979771655751095
"6","SERPINF1",-0.558351132564521,0.246662007163334,0.702599274801742
"7","NUCB1",-1.88224607990018,0.00328649254017189,0.317788511637437
"8","C3",0.804897238707245,0.200016386040054,0.670128880168188
"9","YWHAZ",-1.40083822168502,0.0220156795120363,0.38802635139964
"10","SERPINA10",-0.893179945050449,0.271787101846601,0.713499358580514
"11","SERPINA1",-2.50314246297913,0.00489989000375007,0.317788511637437
"12","YWHAE",0.836605969141772,0.124611283936879,0.607875320458375
"13","SERPINC1",-0.00279205881982847,0.996419286661779,0.997824477794658
"14","YWHAB",-0.610015237624356,0.273463669327572,0.713499358580514
"15","ENO1",-1.19224610664452,0.017062089256507,0.38802635139964
"16","PDIA6",-0.971488392527171,0.0838790237919245,0.581624082901353
"17","ITGB1",-1.33661695576779,0.0317371316225368,0.43657907890514
"18","PDGFRL",-1.40594484086951,0.12368028142394,0.607875320458375
"19","COL11A1",-0.1848919489696,0.761155503332214,0.944245128998153
"20","ITIH2",0.969514747328509,0.287346021428603,0.72425954976318
"21","COL14A1",-4.42082723056508,0.0013053064941603,0.245397620902136
"22","A0A452GER8",-0.781131643056554,0.13201116318482,0.610559990622455
"23","LOC100059239",-0.746411079882016,0.254375193668793,0.70327259426078
"24","IGFALS",-2.14951107571875,0.00630427617366831,0.317788511637437
"25","FN1",0.242513011862403,0.589616190127239,0.890396009453639
"26","VCL",-0.453148250813815,0.382420585502841,0.798834111939269
"27","CA2",1.41254881374354,0.0968384155803007,0.581624082901353
"28","IFITM5",-1.41528631986791,0.132071487333226,0.610559990622455
"29","RAB1B",0.00997013003002678,0.986117099177543,0.994937466790938
"30","FAM20C",-1.32222643694336,0.135464335915213,0.611858634990782
"31","HNRNPK",-2.06841703095107,0.0117408151598233,0.38802635139964
"32","HABP2",-1.27442022420995,0.0300282336382255,0.43657907890514
"33","PHEX",0.729617407694743,0.0800213628721095,0.581624082901353
"34","TGFBI",-2.94406318609121,0.00732491250228135,0.317788511637437
"35","PLCD1",-1.4570155785553,0.0743565104087742,0.581624082901353
"36","RPSA",-1.1414398068177,0.0315863584805002,0.43657907890514
"37","TUBB",-2.14783596852957,0.0162937610207304,0.38802635139964
"38","ILF2",0.095376728041483,0.848675524891234,0.979018551903902
"39","CENPV",-0.754367906757919,0.227480006590374,0.690221627143107
"40","APOA1",0.0022456342940167,0.997625126873084,0.997824477794658
"41","CLU",1.00297895149112,0.101392591891528,0.581624082901353
"42","OLFML3",0.291232549989306,0.58094005018965,0.886559387113124
"43","AHCY",-1.35243234933017,0.344999792009526,0.770093936152358
"44","MAN1A1",-0.0779221085935653,0.913472811003206,0.979771655751095
"45","SPARC",-0.399857116684633,0.602703074672477,0.902737020315185
"46","EFEMP2",-0.96964745676156,0.159864560286711,0.629566016412269
"47","F2",-0.243867453434238,0.618048215833444,0.905019757689198
"48","CRTAP",-0.549443559436295,0.349893621742228,0.770093936152358
"49","F6Q1M4",-3.33428952250613,0.260563509860692,0.706030373285964
"50","DPT",-0.181344337587841,0.6833914355966,0.92320630868672
"51","PLG",0.870409470236314,0.146221691300251,0.612422341792962
"52","LUM",-1.12362152404871,0.0314362103460021,0.43657907890514
"53","SEPTIN2",-1.33186600907402,0.141349158869214,0.611858634990782
"54","NONO",0.279618738758352,0.735621163396075,0.92725549299438
"55","SIL1",-0.10364515609708,0.889216360507723,0.979771655751095
"56","GNAI2",1.29677835821543,0.10828107926355,0.581624082901353
"57","HBB",0.721749610706567,0.185578422751868,0.652659106508692
"58","RAB5C",0.0236731170568021,0.961005782812495,0.990023480302809
"59","A0A5F5PNF9",-0.91702071862662,0.144285812861302,0.611858634990782
"60","ITIH1",0.332515623803022,0.620139814412124,0.905019757689198
"61","NID2",-0.672388343694365,0.655887757902694,0.92320630868672
"62","ACTR3",-1.60892473350229,0.0943309001991816,0.581624082901353
"63","RAP1B",-0.910212096521272,0.253739397965251,0.70327259426078
"64","CPE",-1.28288939421835,0.178566742961642,0.645587455322859
"65","MFRP",0.431512520865493,0.413912960697986,0.812956581500411
"66","APOC2",-0.145988103159269,0.854903764325414,0.979771655751095
"67","VTN",-0.667199641058666,0.318332629410447,0.744977605757228
"68","EEF1A1",-0.901989793020505,0.186499242786638,0.652659106508692
"69","CAP1",-1.2525534059709,0.175295688970038,0.645587455322859
"70","MSN",-0.256180447267546,0.698582706085846,0.92320630868672
"71","SERPINE2",-0.451107819809788,0.312237347532009,0.739923798353163
"72","LOX",-0.816993863133508,0.187465913571646,0.652659106508692
"73","COL11A2",-0.344647796552827,0.600220060499726,0.902730970991587
"74","SERPIND1",0.400376798399911,0.615780798687081,0.905019757689198
