"","X","FC","pval","adj_pval"
"1","A0A3Q2GY57",-2.83060697574206,0.00094799859403678,0.0495803264681238
"2","A0A3Q2I5C4",-2.58365887594165,4.97193623250955e-05,0.0130016132480125
"3","MDK",-4.80484017603583,4.95497148838929e-05,0.0130016132480125
"4","PTN",-1.34675058120869,0.00088902970722821,0.0495803264681238
"5","CFP",-1.06082290415852,0.0122402437218489,0.115739749280904
"6","SLIT3",-0.71919010135667,0.042434621718332,0.226462317945792
"7","PADI2",-1.33302388470088,0.00427756438658739,0.0657990051230943
"8","HABP2",-1.0415000603741,0.0109003294743861,0.109632159905845
"9","ANXA1",-1.22893450476905,0.00427437132413061,0.0657990051230943
"10","SFRP1",-0.946946730941658,0.02456269110205,0.166834901900937
"11","PCOLCE2",-1.30432678982312,0.0023374014649837,0.0627444583590622
"12","HSPD1",-1.69809962565169,0.00854395794786391,0.0976790363561516
"13","DSPP",-2.66506739208308,0.00031469633319147,0.0329172364518281
"14","SERPIND1",-0.968926323747358,0.0257536988007522,0.171065018395648
"15","SEMA3E",-2.05034188928293,0.00068009633571131,0.044461297947127
"16","HSPA1A",-1.0540422974213,0.0198989207991586,0.150828051854492
"17","H2AC19",-0.367820710970772,0.418590012492889,0.665418165756173
"18","C7",-0.614465688265962,0.18319531560585,0.443570139175276
"19","HHIPL1",-1.44073458354918,0.00181478378091078,0.0593207448385212
"20","BMP1",-1.77273016749226,0.00170043295012278,0.0592884288609475
"21","MANBA",-1.5059289369103,0.00379252516080762,0.0652634587671667
"22","CFH",-0.555441632495107,0.21168579931738,0.471861309292982
"23","HSP90B1",-0.373651923828021,0.395461184122038,0.650115320742549
"24","TIMP2",-1.44458329211356,0.00307274408024261,0.0652634587671667
"25","PCSK5",-2.02464488444352,0.00234489069409373,0.0627444583590622
"26","SEMA3D",-1.10056016576515,0.00965963164749829,0.103214799056399
"27","SERPINA10",-0.14891648793494,0.71688652623967,0.878060077806434
"28","COL5A1",-1.16789495248399,0.0203396708070455,0.151966397601211
"29","SPON1",-1.50592760943896,0.00714097681742832,0.0929581271830024
"30","LECT2",-1.39518138568278,0.00905116743388375,0.10071830995577
"31","CLSTN1",-1.35192372504207,0.00987295766910552,0.103271137218844
"32","AOC2",-0.666134172154763,0.0780783126979964,0.289609627950724
"33","PHEX",-0.849776704717378,0.0499820045751458,0.244304564418703
"34","HSP90AA1",-0.891329322481905,0.0661199780552785,0.273710009780012
"35","FRZB",-1.90745062010402,0.00386838856937317,0.0652634587671667
"36","PROS1",0.0635473183357149,0.832495079119324,0.950188627828098
