"","X","FC","pval","adj_pval"
"1","A0A3Q2GY57",-1.13575925484704,0.119645197102447,0.719165489436226
"2","A0A3Q2I5C4",0.381108167842854,0.417926916690556,0.865203695569719
"3","MDK",-0.380695957254783,0.660808171005826,0.947747013579093
"4","PTN",0.837528029353166,0.021124208523523,0.69276516106562
"5","CFP",0.439919770548357,0.25526475843254,0.802518546592134
"6","SLIT3",-0.0470744062036808,0.886347584883545,0.967002374479528
"7","PADI2",-0.0421792306868447,0.916428472974592,0.967002374479528
"8","HABP2",0.235884901208621,0.519709777600756,0.905953969333589
"9","ANXA1",-0.265542512430418,0.477411983577912,0.897500887522014
"10","SFRP1",-0.369306877298126,0.344517325302333,0.829208656048368
"11","PCOLCE2",0.373315924429988,0.310351854475061,0.829208656048368
"12","HSPD1",0.105168412463506,0.85356922396338,0.967002374479528
"13","DSPP",0.138043276424668,0.812002097695192,0.967002374479528
"14","SERPIND1",0.742416246235589,0.0771669573725187,0.715978714507852
"15","SEMA3E",0.26930269194516,0.582098538436032,0.920500608314119
"16","HSPA1A",-0.133773440973073,0.74502255584935,0.962869013986743
"17","H2AC19",-0.316711041906554,0.484853984238765,0.897500887522014
"18","C7",-0.532654332472635,0.245060277190219,0.791151388706696
"19","HHIPL1",0.690469598849212,0.0893007991169862,0.715978714507852
"20","BMP1",0.434135894720569,0.363653625203534,0.829208656048368
"21","MANBA",0.686444287585349,0.138882819183669,0.719165489436226
"22","CFH",-0.162255302503169,0.708329264730724,0.96229939867702
"23","HSP90B1",-0.13793150431934,0.751148293894056,0.962869013986743
"24","TIMP2",0.972369198812423,0.031282414389576,0.715978714507852
"25","PCSK5",1.04433319146661,0.0782396147142918,0.715978714507852
"26","SEMA3D",0.91302133356097,0.0264919755665629,0.69276516106562
"27","SERPINA10",-0.0651015093090201,0.873808946420506,0.967002374479528
"28","COL5A1",0.104742654419631,0.818829804396665,0.967002374479528
"29","SPON1",0.371609590531257,0.453330505324749,0.881382357936221
"30","LECT2",0.53465784279916,0.267962617407637,0.806785412566899
"31","CLSTN1",0.913480624265716,0.0642023441672721,0.715978714507852
"32","AOC2",0.197868043387309,0.582206691411874,0.920500608314119
"33","PHEX",-0.395711756846566,0.336128505543628,0.829208656048368
"34","HSP90AA1",-0.1608393100414,0.725288786092498,0.962869013986743
"35","FRZB",0.936812998008637,0.113821781718587,0.719165489436226
"36","PROS1",0.0692864063965324,0.817648980665694,0.967002374479528
"37","CFI",-1.25791229075474,0.0320740404223289,0.715978714507852
"38","PROC",0.227865453722732,0.492687294531802,0.897500887522014
"39","MATN2",0.934276042474572,0.10859247059761,0.719165489436226
"40","CALR",-0.296745753173688,0.478798568059261,0.897500887522014
"41","F10",-0.248138338323177,0.588560332704034,0.920500608314119
"42","CCN2",0.340879663508892,0.398621443070975,0.846608857189345
"43","QSOX1",0.209296628072877,0.49066355945297,0.897500887522014
"44","MMP2",0.328071400589643,0.3270174946771,0.829208656048368
"45","PCOLCE",0.296332135480633,0.366567005537571,0.829208656048368
"46","CCL16",0.444428586208407,0.535132125614741,0.910931587778105
"47","PLOD1",0.738928482935957,0.0645059453400609,0.715978714507852
"48","A0A3Q2I7E3",-0.016440732782371,0.974087594155764,0.99340099713276
"49","EHD4",0.616339049194131,0.218804529545595,0.775258443089194
"50","RBM41",0.786359401012897,0.0392022502292389,0.715978714507852
"51","CHAD",0.32204079452568,0.470885517980756,0.897500887522014
"52","C1QB",0.491960290469695,0.199578239665827,0.775258443089194
"53","C1QC",0.293555120834149,0.554096314724318,0.910931587778105
"54","CTHRC1",0.618728421731202,0.0550510722530023,0.715978714507852
"55","COL5A2",0.541530819444407,0.169515435629922,0.751326888427536
"56","SERPINH1",0.0961978072179885,0.854852558574513,0.967002374479528
"57","MSN",0.491297293815432,0.213349549365347,0.775258443089194
"58","IGHM",-0.766008966184749,0.104801524062955,0.719165489436226
"59","C6",-0.771319196622986,0.146391896489936,0.722579176498272
"60","ANXA5",0.756973943252564,0.131339223346615,0.719165489436226
"61","VCAN",0.6811668499159,0.333454044667295,0.829208656048368
"62","BGN",0.349774989777597,0.35543374723205,0.829208656048368
"63","ITIH4",-1.47982159661273,0.00489447194614562,0.69276516106562
"64","HSPA8",0.0967800100992946,0.840545828977079,0.967002374479528
"65","F2",-0.295682236559951,0.370213501316022,0.830994254026951
"66","MMP20",0.811861499612569,0.0796257049348508,0.715978714507852
"67","PCNP",1.11000585889481,0.125846762552098,0.719165489436226
"68","COL5A1.1",0.197945380435165,0.60511903333035,0.925125912585053
"69","COL11A1",0.350264096667477,0.58368037301861,0.920500608314119
"70","GPC6",0.937075607426237,0.114600587531875,0.719165489436226
"71","ADAMTS3",-0.262322836669727,0.506200257007378,0.897500887522014
"72","TGM2",-0.245841971404381,0.686512741283146,0.957456436509561
"73","ANXA2",1.00553998676915,0.0479718380662196,0.715978714507852
"74","F7BF53",0.63471151099894,0.196806113947625,0.775258443089194
"75","HNRNPK",-1.08135880461259,0.154470350055145,0.734269035438981
"76","UBA52",0.382522216298902,0.36783252046505,0.829208656048368
"77","EPYC",0.59535272299966,0.271480158849829,0.806785412566899
"78","GNB1",-0.20610575818317,0.641068046738152,0.938111669168408
"79","ECM1",-0.495266147171904,0.214784689928145,0.775258443089194
"80","IGFBP6",0.52170857759554,0.314009677768566,0.829208656048368
"81","A0A5F5PGW4",-1.32232926362259,0.0864912784094493,0.715978714507852
"82","FSTL1",1.33629807332371,0.0221869053107935,0.69276516106562
"83","MAN1A1",1.01592384402895,0.0261663552028581,0.69276516106562
"84","PLA2G2A",-0.953117070663051,0.26793639508991,0.806785412566899
"85","HIPK1",0.708371432609354,0.0792271388460982,0.715978714507852
"86","ITIH2",-1.46043443243053,0.00550019949666261,0.69276516106562
"87","SPARC",0.373843691733612,0.457176686078341,0.88230039416595
"88","GAS6",0.636208426274486,0.134263664158906,0.719165489436226
"89","CLEC3B",-0.116166906220911,0.746629294874398,0.962869013986743
"90","TCN2",0.326671977869243,0.483563068311276,0.897500887522014
"91","ACTR3B",-1.35149949915086,0.0186627808446274,0.69276516106562
"92","PSMA5",1.68548202622026,0.0316305926037387,0.715978714507852
"93","TIMP1",0.521020019632367,0.208459414905716,0.775258443089194
"94","NUCB2",0.34995837745781,0.561409867544577,0.910931587778105
"95","PPIB",0.568149283868166,0.211290159979426,0.775258443089194
"96","A0A3Q2H1L4",-0.197120648420761,0.540905503657084,0.910931587778105
"97","THBS4",-0.0985238128966373,0.849985095488441,0.967002374479528
"98","A0A3Q2ID60",-0.702419040572938,0.0632292875820749,0.715978714507852
"99","CPE",0.569341742928483,0.247560410681324,0.79431959991615
"100","A0A5F5Q393",-2.92956644762279,0.016694893249778,0.69276516106562
"101","LUM",-0.35959641866884,0.396784549128172,0.846608857189345
