"","X","FC","pval","adj_pval"
"1","TIMP1",0.828463204444049,0.0706523057087264,0.686964559494554
"2","SERPIND1",0.811547468596032,0.0515079882637968,0.644703351862592
"3","FGA",-0.855530652783031,0.161896675123869,0.768623570695016
"4","SERPINA1",-0.633778579225616,0.233890287191983,0.806831937404516
"5","APRT",-1.89301019752914,0.0351210210233965,0.644703351862592
"6","APOA4",-0.0757564199780916,0.887452585160264,0.971868511669094
"7","HRG",-1.60197334008518,0.035569840733694,0.644703351862592
"8","HIPK1",0.79287983658514,0.0798188682849466,0.686964559494554
"9","COL5A1",0.61528103384364,0.18715797499697,0.78444692331433
"10","PLG",-0.791318387163294,0.210969916731242,0.798205675919398
"11","PCOLCE",0.217794757833669,0.591425634192179,0.903900055081404
"12","ANXA5",1.17899521956967,0.0463345570093763,0.644703351862592
"13","CP",-0.661804481166826,0.302171149775808,0.806831937404516
"14","LOC100067532",-0.999323269211811,0.235921722295982,0.806831937404516
"15","AGT",-0.637674394896376,0.268332278531285,0.806831937404516
"16","NME2",0.186895683735461,0.877940305095453,0.971868511669094
"17","A0A3Q2H1L4",-0.476484192631087,0.318740027677966,0.806831937404516
"18","MMP20",1.20304368815941,0.0219514388291784,0.644703351862592
"19","COL11A2",0.731036538214024,0.147540185106603,0.768623570695016
"20","PHEX",0.736893544318555,0.474917738137575,0.890135063221143
"21","A0A3Q2KU18",0.0631649109234935,0.893672194638247,0.971868511669094
"22","CALR",-0.0290216739109148,0.947517170205761,0.981357069141681
"23","NUCB1",0.505983793525061,0.24164745596469,0.806831937404516
"24","SERPINF2",-0.454753198174025,0.415628919867671,0.860945619725891
"25","LOX",0.428025507402022,0.217684006536969,0.798205675919398
"26","BGN",0.835760680981583,0.027543101661073,0.644703351862592
"27","CFB",-1.25663386661308,0.0916360762675827,0.686964559494554
"28","SPON1",0.542482843533918,0.377205637619741,0.84197415783326
"29","TTR",0.0392045216912607,0.930585395168885,0.981343677871843
"30","PPP1R12A",-4.4915245486846,0.129803921330171,0.736496162329882
"31","C3",0.1125308111796,0.795750298987061,0.966316687714136
"32","VIM",-0.288328494107578,0.537772629483279,0.890135063221143
"33","CRP",0.515793472963562,0.31127857814549,0.806831937404516
"34","PPIB",1.01614104433247,0.051872683483197,0.644703351862592
"35","COL6A2",-0.0376238812893064,0.924768884948857,0.981343677871843
"36","AMBP",0.00645314653223394,0.988070698764654,0.993994523594184
"37","TUBB4B",0.046983326835452,0.945240768364135,0.981357069141681
"38","HABP2",0.0211490158347729,0.963032860116461,0.985280100933814
"39","IGHM",-1.41902053662172,0.0813686921488807,0.686964559494554
"40","PLOD1",0.57158945179606,0.409889654883214,0.858616117642803
"41","CLU",-0.591830069193662,0.321038575560258,0.806831937404516
"42","GAPDH",0.522278880597494,0.308888916527317,0.806831937404516
"43","AOC2",0.552548183011343,0.272847066753713,0.806831937404516
"44","COL11A1",0.616308709506598,0.0758948215574597,0.686964559494554
"45","A0A3Q2H680",0.545759220318246,0.15846358327791,0.768623570695016
"46","ENO1",-1.72125205656343,0.105013253108867,0.721275238458269
"47","ANXA1",-0.205655992367809,0.719098103350628,0.966316687714136
"48","SERPING1",-0.824628440552537,0.232977160579924,0.806831937404516
"49","IGHM.1",-0.572958921653886,0.465096849029604,0.890135063221143
"50","SPARC",0.567196702799617,0.34161583374561,0.825571598218557
"51","F2",0.589435296245455,0.117408510700561,0.733350192292359
"52","CPZ",0.222421656099907,0.800379252776443,0.966316687714136
"53","SERPINC1",0.389004064258593,0.382288911018716,0.84197415783326
"54","A0A3Q2HMJ3",-1.27101275424994,0.160190790386175,0.768623570695016
"55","SERPINF1",0.866914323996284,0.0279433688009843,0.644703351862592
"56","A0A5F5PGW4",-1.78681163313845,0.0894999579615706,0.686964559494554
"57","AHSG",0.348586190883701,0.393908836071021,0.842706608315873
"58","CFD",-0.99200745489448,0.161970484246076,0.768623570695016
"59","CENPH",-1.79270046334361,0.0576992157582167,0.68452251422248
"60","DDX55",-0.489588639756004,0.37877591422315,0.84197415783326
"61","CLEC3B",0.394530063835838,0.28351390340791,0.806831937404516
"62","F6Q1M4",-3.00253667733004,0.0514813365969221,0.644703351862592
"63","APOH",0.0533654277163862,0.936224428314517,0.981343677871843
"64","PALB2",0.731144861505326,0.515569896566322,0.890135063221143
"65","FETUB",-0.108791787861712,0.841256874756492,0.966316687714136
"66","A0A3Q2LCW0",-0.684826695535708,0.240790323420792,0.806831937404516
"67","SRPX2",-0.353037178891352,0.749988369089188,0.966316687714136
"68","TRAF2",0.389067193649897,0.453812758184488,0.890135063221143
"69","A0A3Q2GXZ7",-0.121492341316092,0.844138715704303,0.966316687714136
"70","A0A3Q2HD35",0.066990431426337,0.91128984252151,0.978792793819399
"71","S100A6",0.747260653543879,0.128703327776247,0.736496162329882
"72","HSPG2",0.894124926337934,0.0927895156782427,0.686964559494554
"73","CPB2",-1.4660801928617,0.133074991499279,0.738990910240677
"74","FMOD",0.434863633152943,0.520744409273662,0.890135063221143
"75","HSP90AA1",-0.223786997912399,0.843293609036066,0.966316687714136
"76","A0A3Q2GXB1",-0.430378338809795,0.526728083543254,0.890135063221143
"77","A0A3Q2ID60",-0.0830930159249235,0.909456917007628,0.978792793819399
"78","PROC",0.413968053563053,0.257528698283941,0.806831937404516
"79","SFRP2",0.670396696362427,0.596287087072151,0.903900055081404
"80","S100A1",0.828749467235475,0.431462878471841,0.879779775633988
"81","APOC2",0.405119375235508,0.514781193450411,0.890135063221143
"82","LDHB",-0.0745449915375502,0.934048131094313,0.981343677871843
"83","F6SN37",-1.34486337589993,0.161770545001649,0.768623570695016
"84","LMNA",-1.00316121139791,0.267642234822936,0.806831937404516
"85","APOA1",0.232898301004251,0.66211569879631,0.934119985869388
"86","FASN",-0.913530827534071,0.370425344813079,0.84197415783326
"87","A0A3Q2I5C4",1.25935072078289,0.215928114835511,0.798205675919398
"88","DPYSL2",0.916889171232999,0.704384529892728,0.966316687714136
"89","FTCD",-1.31559499031519,0.18675454553105,0.78444692331433
"90","BPIFA2",-0.248136614611404,0.729470634862184,0.966316687714136
"91","ALB",0.553525081149928,0.261300465491443,0.806831937404516
"92","YWHAB",-1.08139020224949,0.594845430775544,0.903900055081404
"93","APOC3",0.163494412846415,0.889492479460236,0.971868511669094
"94","RAB1B",0.727081763212997,0.389595343049047,0.842706608315873
"95","SEMA3D",-0.278429768224367,0.755109487142684,0.966316687714136
"96","TF",-1.51928173593601,0.411214615729312,0.858616117642803
"97","QPCT",0.560129655514054,0.32573501171671,0.806831937404516
"98","AHNAK",-0.235277058098518,0.858261494165354,0.971868511669094
"99","APOA2",-0.321864926049912,0.625891224131391,0.917790542342497
"100","LOC100067869",-0.511954268612914,0.558691488528091,0.900114064850813
"101","C1QB",0.107263328484704,0.873458023490176,0.971868511669094
"102","QSOX1",-0.155376241897432,0.815984062289799,0.966316687714136
"103","CHID1",0.433384478262553,0.532371551942981,0.890135063221143
"104","VIT",-0.831043324850516,0.325833100091715,0.806831937404516
"105","F6SHJ8",-1.92675169081923,0.181934694286712,0.78444692331433
"106","A0A5F5PPB8",-0.071159877659813,0.891709515453445,0.971868511669094
"107","SPARCL1",0.25218085216898,0.571904443801476,0.903213905249592
"108","LUM",0.337408707627983,0.517434335781681,0.890135063221143
"109","APP",1.98729405956545,0.0348993401767651,0.644703351862592
"110","BRD4",-1.92615797759333,0.383888600697923,0.84197415783326
"111","LOC100059239",0.589087753604932,0.263953262914019,0.806831937404516
"112","F10",0.402266086245568,0.301408319415027,0.806831937404516
"113","A0A3Q2I8J7",0.124879187607998,0.946763207986223,0.981357069141681
"114","KCNN4",-0.764747305214186,0.599136818119092,0.903900055081404
"115","KRT36",-1.23579016139483,0.773273277251563,0.966316687714136
"116","A0A3Q2H3M7",1.48084229081068,0.567833743302914,0.903213905249592
"117","F7CAC5",-0.263606751928275,0.726988476646414,0.966316687714136
"118","DDX31",0.452012665265322,0.573214930527206,0.903213905249592
"119","IGFALS",0.307707087979374,0.640891938091031,0.919081295833841
"120","CFI",0.795152708061153,0.461499098547888,0.890135063221143
"121","PGD",0.93292789743292,0.780188543117906,0.966316687714136
"122","THBS4",-2.67698220673541,0.29625362297187,0.806831937404516
"123","PGK1",-0.449851201760907,0.632533167247316,0.917790542342497
"124","DSPP",0.711093950706445,0.494547016966705,0.890135063221143
"125","FGB",0.253223407298975,0.629587704374255,0.917790542342497
"126","ALB.1",0.00722940572021358,0.991498164691767,0.993994523594184
"127","COL23A1",0.269018893226374,0.811611703318783,0.966316687714136
"128","KRT82",0.31929228771677,0.517822143420961,0.890135063221143
"129","KRT88",-1.10274866846866,0.535848006505509,0.890135063221143
"130","FNDC1",-0.655735219061349,0.518532322074617,0.890135063221143
"131","YWHAZ",-0.451774480296944,0.592458163869134,0.903900055081404
"132","A0A3Q2I854",0.548767048611186,0.312760520106294,0.806831937404516
"133","HTRA1",-0.860506862870658,0.409063270462872,0.858616117642803
"134","A0A3Q2H9B8",-0.503307276467508,0.758055183443343,0.966316687714136
"135","SRPX",0.459030084362258,0.557360450741682,0.900114064850813
"136","LCP1",0.212171179256128,0.656826103877059,0.931693549521263
"137","PDIA6",0.589424464610381,0.306831325842665,0.806831937404516
"138","LOC100050904",0.25935978795162,0.632958994718964,0.917790542342497
"139","LOC100061663",-0.601722095399627,0.625462203018944,0.917790542342497
"140","PROS1",0.482106662190965,0.204732014498231,0.798205675919398
"141","C3.1",-0.229762716567784,0.767052682662751,0.966316687714136
"142","PKM",-2.01332413662209,0.0963143493686562,0.686964559494554
"143","PRDX1",-0.187787959822037,0.810854540238801,0.966316687714136
"144","IGFBP5",-0.212407279043347,0.861535947467426,0.971868511669094
"145","F9",0.364161256919591,0.519352848477254,0.890135063221143
"146","AMBN",0.217896196279071,0.841576779416705,0.966316687714136
"147","CD248",0.395631255498891,0.373985906262415,0.84197415783326
"148","SPP2",0.778175220582042,0.378704937864191,0.84197415783326
"149","TUBA1B",0.802997485439102,0.467864939635279,0.890135063221143
"150","FGF23",1.95263508606011,0.0966222349256398,0.686964559494554
"151","PROZ",-0.870576227511291,0.526842044366217,0.890135063221143
"152","COL12A1",0.013853485055435,0.980688905638335,0.993994523594184
"153","TUBA1A",0.887718713028949,0.506495403283262,0.890135063221143
"154","PSAP",0.935692989393189,0.686538578405242,0.95821694633031
"155","MFGE8",0.463301764381631,0.619245224739661,0.917790542342497
"156","AEBP1",0.332942299252394,0.541623916572854,0.890135063221143
"157","KRT33B",-0.240507491441996,0.794524922998609,0.966316687714136
"158","COL6A1",-0.342427746875893,0.746553548752491,0.966316687714136
"159","SEC14L2",-1.74620138892536,0.37369043806147,0.84197415783326
"160","A0A3Q2GTT5",0.437214951865215,0.68056691670577,0.954989060538741
"161","LDHA",-1.455783184225,0.0890082583943713,0.686964559494554
"162","POSTN",0.64725830002482,0.478388837215138,0.890135063221143
"163","POSTN.1",0.00580669657679422,0.993994523594184,0.993994523594184
"164","CCDC80",0.889493121202594,0.0388857909530781,0.644703351862592
"165","A0A3Q2H0T7",0.85520437832513,0.720297108427292,0.966316687714136
"166","SERPINA3",1.61903837081691,0.390992413962649,0.842706608315873
"167","TTC23",-2.70607040561364,0.21292314935405,0.798205675919398
"168","P4HB",0.167972731387401,0.834513408003576,0.966316687714136
"169","KRT42",-0.217142338389735,0.800782304913222,0.966316687714136
"170","H9GZT5",-0.0644925047278697,0.935643511915972,0.981343677871843
"171","A1BG",0.347449326258058,0.542967676910468,0.890135063221143
"172","EIF4A2",-0.504044028713128,0.640051395719302,0.919081295833841
"173","A0A3Q2IA12",0.0914471770218981,0.952270179982349,0.982381490021317
"174","COL17A1",-1.23279369623859,0.588249681399927,0.903900055081404
"175","TPP1",1.39325671242525,0.255421779355136,0.806831937404516
"176","A0A3Q2GT62",-0.756811942494732,0.501133196025209,0.890135063221143
"177","MSN",0.845351757543334,0.0452501611740909,0.644703351862592
"178","PRSS8",-0.0901667715611936,0.966405003214776,0.985280100933814
"179","THBS1",0.748371988568746,0.181594934658907,0.78444692331433
"180","F7",-0.189279322324445,0.837143441243239,0.966316687714136
"181","HBB",0.682654152475997,0.216715402736091,0.798205675919398
"182","FSTL3",-0.364151204936448,0.725251857608666,0.966316687714136
"183","EFEMP2",0.662734988339327,0.0742241778238034,0.686964559494554
"184","PLA2G2A",-0.860095471010524,0.586580521909959,0.903900055081404
"185","SAA1",1.36311016344706,0.327678871129803,0.806831937404516
"186","NBL1",-0.287167280450401,0.771261195447809,0.966316687714136
"187","P4HA2",0.491965350803632,0.756067638556231,0.966316687714136
"188","HSP90B1",0.596068699527038,0.463969424223961,0.890135063221143
"189","A0A3Q2HLY7",0.199543633475624,0.867195493694998,0.971868511669094
"190","COL1A1",1.22217438921621,0.00698485048992682,0.644703351862592
"191","LOC100050992",0.172465859812977,0.898534565178429,0.973101749010663
"192","COL2A1",1.79781285216874,0.0745692699830709,0.686964559494554
"193","SERPINH1",0.434096906868772,0.830245580104935,0.966316687714136
"194","PLCL2",2.29947874111981,0.602970642677218,0.904455964015827
"195","EMILIN1",-0.398009651381473,0.842147532283495,0.966316687714136
"196","VTN",0.644871282972154,0.192354801119223,0.78444692331433
"197","EEF1A1",-1.92280465988055,0.0440358279750332,0.644703351862592
"198","TGFBI",0.109830466020771,0.885732908138296,0.971868511669094
"199","SPP1",0.236329069472369,0.733694047137197,0.966316687714136
"200","KRT1",0.542514493958912,0.317328132813565,0.806831937404516
"201","COL3A1",0.898047827323321,0.160907056224034,0.768623570695016
"202","P3H4",0.379843922939553,0.574457886097442,0.903213905249592
"203","LOC100059533",-0.200878057384607,0.860089127386888,0.971868511669094
"204","A2M",0.936581999552583,0.0973857804647452,0.686964559494554
"205","AMELX",0.669264387962873,0.293301793508008,0.806831937404516
"206","INHCA",-0.839430358383126,0.707207046534459,0.966316687714136
"207","A0A5F5PU03",0.78607573822514,0.117950536867424,0.733350192292359
"208","S100A9",0.2190619846902,0.878572651631302,0.971868511669094
"209","COL5A1.1",0.703003084417499,0.508613509606499,0.890135063221143
"210","C9",0.625797809052948,0.273418730835464,0.806831937404516
"211","MFRP",0.725586811373685,0.24557407466696,0.806831937404516
"212","TUT4",-0.0194353701465815,0.988660468268229,0.993994523594184
"213","COL5A2",1.00870818970349,0.0142135288389682,0.644703351862592
"214","A0A5F5PI90",2.05552889524874,0.113212514400046,0.733350192292359
"215","C1QTNF3",0.296503111173472,0.713739189261312,0.966316687714136
"216","COL22A1",0.952081118369282,0.043806701902647,0.644703351862592
"217","A0A3Q2H875",1.19382076238964,0.373581342414967,0.84197415783326
"218","CTHRC1",0.9411466850183,0.00937174613864931,0.644703351862592
"219","PRDX2",0.361891214504023,0.80184989342606,0.966316687714136
"220","DNAJC3",0.609648422688092,0.420697076778642,0.864582181411225
"221","ANKRD29",-2.22699855186644,0.459888892540919,0.890135063221143
"222","F7D5X8",0.0862448676734804,0.932136216822205,0.981343677871843
"223","AFP",-1.98027394059041,0.220194669219144,0.798205675919398
"224","PRELP",0.262167674153559,0.773059069990564,0.966316687714136
"225","A0A5F5PIJ3",0.707762809158961,0.129791052594304,0.736496162329882
"226","KRT10A",0.755256767915323,0.177566907605378,0.78444692331433
"227","MMP13",1.02490064291416,0.0886367408741602,0.686964559494554
"228","SPATA1",-0.349395770691576,0.809149590617718,0.966316687714136
"229","COL1A2",1.08028449587559,0.00974506356435795,0.644703351862592
"230","NPC2",0.595922037231173,0.498797855657201,0.890135063221143
